"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Thu Apr 20 10:24:51 GMT 2023","Thu Apr 20 10:25:06 GMT 2023","14480","Tests","test_users","","","","test_EditLastNameAndVerifyInTable",""
"passed","Thu Apr 20 10:25:11 GMT 2023","Thu Apr 20 10:25:17 GMT 2023","6526","Tests","test_users","","","","test_AddNewUserAndVerify",""
"broken","Thu Apr 20 10:21:25 GMT 2023","Thu Apr 20 10:21:41 GMT 2023","15653","Tests","test_temprory_worker","","","","test_TemporaryWorkerAdd",""
"passed","Thu Apr 20 10:20:39 GMT 2023","Thu Apr 20 10:20:41 GMT 2023","1272","Tests","test_Login","","","","test_SignInWithoutPassword",""
"passed","Thu Apr 20 10:23:22 GMT 2023","Thu Apr 20 10:23:33 GMT 2023","10983","Tests","test_users","","","","test_verifyEditFormShowingChangesSavedSuccessWhenSubmittingFormWithoutChanges",""
"passed","Thu Apr 20 10:20:38 GMT 2023","Thu Apr 20 10:20:38 GMT 2023","684","Tests","test_Login","","","","test_SignInWithInvalidEmail",""
"passed","Thu Apr 20 10:23:17 GMT 2023","Thu Apr 20 10:23:21 GMT 2023","3884","Tests","test_users","","","","test_verifyEditFormFieldsArePresent",""
"passed","Thu Apr 20 10:22:44 GMT 2023","Thu Apr 20 10:23:04 GMT 2023","19718","Tests","test_users","","","","test_UserDeleteLastAndVerify",""
"passed","Thu Apr 20 10:17:06 GMT 2023","Thu Apr 20 10:17:21 GMT 2023","14710","Tests","test_temprory_worker","","","","test_TemporaryWorkerDeleteFirst",""
"passed","Thu Apr 20 10:25:07 GMT 2023","Thu Apr 20 10:25:10 GMT 2023","2644","Tests","test_users","","","","test_AddAndVerifyErrors",""
"broken","Thu Apr 20 10:25:42 GMT 2023","Thu Apr 20 10:25:52 GMT 2023","10580","Tests","test_users","","","","test_AddNewUserMagicLinkAndVerify",""
"passed","Thu Apr 20 10:19:21 GMT 2023","Thu Apr 20 10:19:23 GMT 2023","2202","Tests","test_users","","","","test_UserCheckNecessaryButtonsClickAble",""
"passed","Thu Apr 20 10:22:41 GMT 2023","Thu Apr 20 10:22:43 GMT 2023","1722","Tests","test_users","","","","test_UsersNavigateToUsersForApprovalPage",""
"passed","Thu Apr 20 10:19:18 GMT 2023","Thu Apr 20 10:19:20 GMT 2023","1988","Tests","test_temprory_worker","","","","test_TemporaryWorkerCheckNecessaryButtonsClickAble",""
"passed","Thu Apr 20 10:23:05 GMT 2023","Thu Apr 20 10:23:16 GMT 2023","11092","Tests","test_users","","","","test_UserDeleteFirstAndVerify",""
"passed","Thu Apr 20 10:21:45 GMT 2023","Thu Apr 20 10:21:47 GMT 2023","2098","Tests","test_users","","","","test_UsersScreenNavigation",""
"passed","Thu Apr 20 10:20:44 GMT 2023","Thu Apr 20 10:20:50 GMT 2023","5337","Tests","test_temprory_worker","","","","test_TemporaryWorkerMandatoryFields",""
"failed","Thu Apr 20 10:20:10 GMT 2023","Thu Apr 20 10:20:30 GMT 2023","19565","Tests","test_temprory_worker","","","","test_TemporaryWorkerVerifyIfExportedCSVFileDataMatchesWithWebTableData",""
"failed","Thu Apr 20 10:22:24 GMT 2023","Thu Apr 20 10:22:40 GMT 2023","16134","Tests","test_users","","","","test_UsersVerifyIfExportedCSVFileDataMatchesWithWebTableData",""
"passed","Thu Apr 20 10:20:36 GMT 2023","Thu Apr 20 10:20:37 GMT 2023","691","Tests","test_Login","","","","test_SignInWithoutCredentials",""
"passed","Thu Apr 20 10:20:33 GMT 2023","Thu Apr 20 10:20:35 GMT 2023","1456","Tests","test_Login","","","","test_SignInThroughInValidCredentials",""
"passed","Thu Apr 20 10:20:31 GMT 2023","Thu Apr 20 10:20:32 GMT 2023","1417","Tests","test_Login","","","","test_SignInThroughValidCredentials",""
"failed","Thu Apr 20 10:18:59 GMT 2023","Thu Apr 20 10:19:16 GMT 2023","17348","Tests","test_users","","","","test_UsersCheckExportButtonDownloadsCSVFile",""
"failed","Thu Apr 20 10:24:05 GMT 2023","Thu Apr 20 10:24:19 GMT 2023","14306","Tests","test_users","","","","test_EditFirstNameAndVerifyInTable",""
"passed","Thu Apr 20 10:21:42 GMT 2023","Thu Apr 20 10:21:44 GMT 2023","2010","Tests","test_temprory_worker","","","","test_TemporaryWorkerCheckNecessaryButtonsVisible",""
"passed","Thu Apr 20 10:20:41 GMT 2023","Thu Apr 20 10:20:43 GMT 2023","1874","Tests","test_temprory_worker","","","","test_TemporaryWorkerScreen",""
"passed","Thu Apr 20 10:16:49 GMT 2023","Thu Apr 20 10:17:05 GMT 2023","15916","Tests","test_temprory_worker","","","","test_TemporaryWorkerDeleteLast",""
"failed","Thu Apr 20 10:18:03 GMT 2023","Thu Apr 20 10:18:23 GMT 2023","19661","Tests","test_temprory_worker","","","","test_TemporaryWorkerCheckExportButtonDownloadsCSVFile",""
"passed","Thu Apr 20 10:19:24 GMT 2023","Thu Apr 20 10:19:26 GMT 2023","2516","Tests","test_users","","","","test_UserCheckNecessaryButtonsVisible",""
